online_shop,product_id,product_name,shop_id,shop_city,is_official,price,sold_count,rating_average,view_count,liked_count
shopee,2382275165,langsung dari pabrik kaos polos cotton combed / oneck / unisex / tangan pendek / baju pria,140143682,KOTA JAKARTA UTARA,False,30800,440047,4.88,292180,200550
shopee,2566893731,kaos polos premium cotton combed 30s  / oneck / unisex / tangan pendek / baju pria,422144,KAB. TANGERANG,False,28900,339500,4.85,81556,85764
shopee,7611410843,baju batik pria slimfit big size m l xl xxl atasan kemeja batik lengan panjang original,210715306,KOTA PEKALONGAN,False,36500,261827,4.66,4439,1274
shopee,4570372085,koko kurta casual hanafi m l xl xxl terlaris,107286256,KAB. PEKALONGAN,False,49900,171621,4.44,5398,5075
shopee,9207968783,koko kurta pakistan terbaru terkini modern m l xl xxl raffi ahmad,368499871,KAB. PEKALONGAN,False,60000,158243,4.71,2601,532
shopee,8944122821,kemeja pria lengan pendek baju cowok polos putih hitam kasual jumbo big size kerja kantor murah,210826452,KAB. PEKALONGAN,False,32900,132342,4.58,1416,600
shopee,718226377,kaos kerah / kaos polo / poloshirt / kaos lakoste / polo shirt,40466010,KOTA JAKARTA BARAT,False,20000,129510,4.79,26392,13377
shopee,1560588800,1-8 tahun baju kaos anak laki laki perempuan cowok  distro superhero bandung grosir batam campur,989272,KOTA BANDUNG,False,17999,115957,4.81,18093,24113
shopee,1409504177,cuci gudang!!! kaos distro grosir baju pria lengan pendek pakaian cowok kaus bandung murah,14719651,KAB. SUMEDANG,False,21825,109085,4.35,10569,44313
shopee,93748974,polo shirt pria baju kaos kerah polos / kaos berkerah bahan katun lacos murah,3834887,KOTA JAKARTA BARAT,False,24400,97350,4.64,38291,13773
shopee,739892330,hd / kaos raglan pria lengan panjang  kaos pria  kaos polos  baju kaos pria  kaos,26244354,KOTA JAKARTA BARAT,False,19500,96091,4.76,5726,9513
shopee,5612718989,baju koko kurta dewasa lengan panjang pendek material catton adem serap keringat,36966180,KOTA PEKALONGAN,False,47500,95456,4.6,7940,2785
shopee,29257079,kaos polo shirt baju polos pria berkerah wanita banyak warna murah lengan pendek,863248,KOTA SURAKARTA (SOLO),False,29000,93251,4.74,3477,26295
shopee,2201476998,hd - pe o-neck kaos polos pria / kaos polos/ baju distro pria / kaos polos pendek murah  kaos,26244354,KOTA JAKARTA BARAT,False,16500,90338,4.69,114789,9654
shopee,584395056,baju batik pria gus azmi syubbanul muslimin batik katun halus hadroh azzahir hilwa,37780658,KAB. PEKALONGAN,False,55000,89358,4.6,10904,3607
shopee,563487327,baju batik pria gus azmi syubbanul muslimin batik katun halus hadroh azzahir hilwa,37780658,KAB. PEKALONGAN,False,35000,86394,4.61,8054,5492
shopee,88733416, 1 kg = 5 pcs  grosir kaos polos pria pendek baju t-shirt katun combed 30s premium,3834887,KOTA JAKARTA BARAT,False,15000,84668,4.61,5184,12034
shopee,632547355,hd  polo shirt kaos polo pria / kaos krah  baju polo pria  atasan pria,26244354,KOTA JAKARTA BARAT,False,24500,83256,4.77,11765,8773
shopee,2776561199,kaos 3second kaos distro pria part 2 baju kaos pria baju pria pakaian pria kaos surfing,176456485,KOTA SEMARANG,False,44500,83230,4.78,69412,29120
shopee,7854679093,kaos polos soft color 100% cotton combed 30s oneck/baju polos premium,44402585,KAB. BANDUNG,False,24800,80410,4.83,18920,3322
shopee,7754325600,asy kaos pria ii kaos distro sablon digital berkualitas bisa unisex 008,210651172,KOTA JAKARTA BARAT,False,25500,79724,4.47,139911,17763
shopee,2723392224,promo termurah baju kaos polos pria wanita dewasa lengan pendek warna warni lokal boombogie,104672388,KOTA BANDUNG,False,6900,77782,4.13,251299,12224
shopee,1504934549,kaos anak laki 1 sampai 7 tahun,40544789,KAB. BANDUNG,False,16800,77301,4.82,3593,10459
shopee,9529879402,kemeja cowok kasual pria keren murah croft & barrow classic fit button down shir baju surfing 16tgv,305392179,KOTA PEKALONGAN,False,55000,77157,4.61,7247,1724
shopee,501386900,hd  kaos raglan polos 3/4 pria  kaos pria  kaos distro  kaos  kaos polos  baju kaos pria,26244354,KOTA JAKARTA BARAT,False,18500,76594,4.76,1386,7284
shopee,2643921669,kaos distro pria lengan pendek size l dan xl,29199424,KOTA BANDUNG,False,36000,73302,4.75,98444,14061
shopee,2790675221,kaos 3second kaos distro part 1 baju kaos pria baju pria pakaian pria kaos atasan pria kaos polos,176456485,KOTA SEMARANG,False,39600,70382,4.78,49941,27003
shopee,5714812956,kaos boombogie original/kaos distro,23858102,KAB. BANDUNG,False,35000,70351,4.75,112324,10186
shopee,351555018,kaos polos oversize pria & wanita cotton combed 24s baju big size korean style tshirt oversized,8325716,KOTA BANDUNG,False,59400,66976,4.89,119607,36745
