online_shop,product_id,product_name,shop_id,shop_city,is_official,price,sold_count,rating_average,view_count,liked_count
shopee,6146606822,oversize cotton candy / kaos wanita tie dye t-shirt oline abstrak  baju tumblr oversize/kaos distro,67693195,KOTA JAKARTA BARAT,False,4990,204691,4.51,52955,57868
shopee,978781245,termurah >40 warna manset kaos / atasan baju dalaman kaftan / inner all size jersey spandek,11618596,KOTA JAKARTA TIMUR,False,3500,174679,4.68,146752,32794
shopee,2329943301,lilac katun oversize tshirt  kaos tumblr tee baju ungu purple disney basic bts daisy butterfly,6369968,KOTA JAKARTA UTARA,False,28000,132515,4.84,25062,84667
shopee,1659253107,"baju gym running olahraga  ""wanita""/ladies adald response *terlaris*",86264154,KOTA JAKARTA BARAT,False,27900,109995,4.9,11380,8289
shopee,2180959477,"baju fitnes lari gym olahraga ""wanita""/ladies nkld #newmodel",86264154,KOTA JAKARTA BARAT,False,29900,85459,4.9,29641,10489
shopee,4854803278,oversize tshirt kupu butterfly na-bi lilac   baju kaos tumblr tee ungu purple bershka disney basic,67693195,KOTA JAKARTA BARAT,False,5999,77228,4.27,170560,38162
shopee,3760417639,manset kaos wanita /  manset baju muslim / inner wanita muslim / manset turtleneck / atasan baju,74611474,KOTA JAKARTA BARAT,False,3500,75402,4.67,177425,27695
shopee,295075006,kaos polos cotton combed 30s oneck  baju tshirt tumblr tee pendek oversize unisex sage lilac beige mocca dusty rose pink,6369968,KOTA JAKARTA UTARA,False,27000,68738,4.82,148642,29962
shopee,575378884,atasan wanita rajut halus jumbo baju rajut boxy premium,37084147,KOTA BANDUNG,False,38000,68097,4.78,12232,26872
shopee,351555018,kaos polos oversize pria & wanita cotton combed 24s baju big size korean style tshirt oversized,8325716,KOTA BANDUNG,False,59400,66976,4.89,119607,36745
shopee,128663230,boxy abg premium / sweater wanita / atasan wanita / baju abg / baju sweater wanita / baju wanta,7658051,KAB. SUKABUMI,False,24000,61518,4.81,8187,28399
shopee,5970812201,kaos beige mocca katun oversize  baju tshirt tumblr tee khaki cream coklat becca blessed wanita,6369968,KOTA JAKARTA UTARA,False,28000,57615,4.84,82524,45262
shopee,2369816245,manset baju / badan /dalaman baju lengan panjang high neck all size fit to l,55246321,KAB. GARUT,False,12760,56325,4.71,57268,9381
