online_shop,product_id,product_key,shop_name,view_count,sold_count,rating_average,review_count,kategori_penjualan
tokopedia,2083416565,kaos-polos-new-states-apparel-7200-premium-cotton-t-shirt-black-m,newstatesapparel,53248,8612,4.9,2137,Atas
tokopedia,2086198342,kaos-polos-new-states-apparel-3600-soft-tee-t-shirt-black-s,newstatesapparel,63097,7827,4.9,1783,Atas
tokopedia,1138827179,kemeja-polos-hitam-cowok-panjang-kerja-kantor-slimfit-baju-pria-xl,aljosa,294270,5421,4.6,2396,Atas
tokopedia,1632995657,kaos-polo-shirt-pique-cvc-kpm-apparel-size-dewasa-xs,kaospolosmania,43937,4577,4.9,853,Atas
tokopedia,308028135,2-kemeja-putih-pns-pria-hem-putih-asn-atasan-putih-pdh-baju-putih-pns,top-star,81542,4281,4.8,1448,Atas
tokopedia,691396885,terlaris-baju-muslim-pria-koko-agam-atasan-koko-pria-kemeja-koko-pria-mustard-m,anyafootwear,162603,3715,4.6,1155,Atas
tokopedia,694063169,decathlon-kalenji-kaos-lari-dryfit-pria-petrole-biru-8519871-s,decathlon,166496,3633,4.8,2004,Atas
tokopedia,1138846722,vm-polo-shirt-jumbo-kaos-polos-tangan-pendek-putih-m,vm-vanmarvell,31360,2917,4.8,786,Atas
tokopedia,1142898215,kemeja-hitam-polos-pria-lengan-pendek-baju-cowok-slimfit-m,aljosa,208785,2968,4.6,1208,Atas
tokopedia,694404413,decathlon-kalenji-kaos-lari-rundry-pria-8488034-s,decathlon,118355,2884,4.8,1499,Atas
tokopedia,2087196920,kaos-polos-dri-fit-new-states-apparel-2700-royal-blue-s,newstatesapparel,30391,2750,4.9,944,Atas
tokopedia,1142894971,baju-kemeja-lengan-pendek-pria-katun-slimfit-kemeja-cowok-distro-m,aljosa,157532,2415,4.7,1021,Atas
tokopedia,1138824416,kemeja-polos-pria-lengan-panjang-baju-polosan-cowok-kerja-murah-l,aljosa,106642,2255,4.7,1020,Atas
tokopedia,370246125,polo-country-classic-polo-shirt-kk-putih-xxl,polocountryid,71089,2147,4.9,884,Atas
tokopedia,1140726266,kemeja-polos-putih-pria-simple-baju-pakaian-slimfit-katun-white-m,aljosa,99025,2000,4.5,896,Atas
tokopedia,341798150,marchel-man-baju-kemeja-polos-pria-lengan-pendek-kemeja-casual-pria-navy-l,fortklass,88588,1632,4.5,575,Atas
tokopedia,1673660837,kaos-unisex-erigo-t-shirt-fukuokai-custom-cotton-combed-black-s,erigo,95057,2020,4.9,1234,Atas
tokopedia,1417516820,baju-kaos-atasan-tshirt-distro-fashion-pria-wanita-oxprey-murah-1657-putih-s,oxprey59,100564,1971,4.7,860,Atas
tokopedia,1140724604,kemeja-polos-pria-maroon-panjang-slimfit-kerja-kantor-baju-cowok-m,aljosa,89349,1993,4.6,839,Atas
tokopedia,1054075070,quick-dry-sport-shirt-giavnvay-kaos-nyaman-hitam-uk-s,pikelektronik88,8475,1804,4.9,89,Atas
tokopedia,651153747,human-greatness-t-shirt-black-s,humangreatness,37169,1735,4.9,820,Atas
tokopedia,981142124,promo-baselayer-waldos-black-round-neck-sepeda-running-cycling-hitam-s,waldos,61857,1645,4.8,925,Atas
tokopedia,1631550793,kaos-unisex-erigo-t-shirt-risk-cotton-combed-green-s,erigo,50851,1586,4.8,908,Atas
tokopedia,556045156,putra-man-baju-kemeja-hem-polos-pria-lengan-panjang-kemeja-formal-cowo-maroon-l,fortklass,56368,1629,4.5,362,Atas
tokopedia,1649917719,kaos-unisex-erigo-t-shirt-japan-wheels-cotton-combed-navy-m,erigo,53353,1418,4.9,851,Atas
tokopedia,352342959,peter-man-baju-kemeja-polos-pria-lengan-panjang-kemeja-formal-pria-navy-m,fortklass,67226,1347,4.4,581,Atas
tokopedia,1253985729,cm-kaos-distro-pria-t-shirt-pria-baju-pria-atasan-pria-i-dont-care-maroon-m,camelshopdistro,39132,1291,4.5,559,Atas
tokopedia,1624334615,kemeja-unisex-erigo-short-shirt-gribson-rayon-navy-s,erigo,34740,1307,4.9,798,Atas
tokopedia,2100139195,cod-kaos-distro-wanita-pria-l-xl-baju-atasan-lengan-pendek-grosir-motif-random-l,cahayastore528,24,1380,5.0,2,Atas
tokopedia,1631510527,kaos-unisex-erigo-t-shirt-project-summer-cotton-combed-black-s,erigo,24401,1188,4.8,697,Atas
tokopedia,1818406881,kaos-pria-baju-muslim-kurta-polos-atasan-laki-pakaian-cowo-panjang-abu-tua-m,abahhusnashop,41432,1233,4.8,519,Atas
tokopedia,876511936,running-jersey-dk-basic-color-tee-man-green-army-xxl,duraking,88934,1263,4.9,795,Atas
tokopedia,1630984384,kaos-unisex-erigo-t-shirt-japan-fun-ride-cotton-combed-black-s,erigo,46414,1260,4.9,785,Atas
tokopedia,1142895956,kemeja-pria-polos-lengan-pendek-baju-cowok-pendek-murah-m,aljosa,65131,1279,4.7,477,Atas
tokopedia,1060414621,okechuku-tomas-baju-kaos-pria-oblong-model-korea-lengan-pendek-salur-putih-xl-fit-to-xxl,okechuku,53880,1268,4.6,459,Atas
tokopedia,1944689002,matsuda-kaos-polo-shirt-pria-kerah-fukui-grey-m,matsudaapparel,32084,1086,4.9,554,Atas
tokopedia,2084950139,part-3-kaos-polos-new-states-apparel-7200-premium-cotton-t-shirt-burgundy-heathe-s,newstatesapparel,15468,1164,4.9,426,Atas
tokopedia,347883810,billy-man-baju-kemeja-hem-polos-pria-lengan-pendek-kemeja-casual-pria-maroon-m,fortklass,64743,1130,4.6,377,Atas
tokopedia,755715989,kemeja-cuban-hawai-dyllon-paris-blue-hawaiian-shirt-unisex-s,dyllcoofficial,88178,1062,4.8,617,Atas
tokopedia,1140723599,kemeja-polos-cowok-lengan-panjang-slimfit-baju-pria-grandad-black-m,aljosa,83437,1082,4.5,484,Atas
tokopedia,346543849,baju-olahraga-lari-gym-fitness-atalon-solid-short-sleeve-hitam-m,atalonid,65039,2305,4.9,940,Atas
tokopedia,1142899649,kemeja-polos-pria-short-grandad-baju-cowok-polosan-kerah-shanghai-m,aljosa,69081,1071,4.6,429,Atas
tokopedia,652269522,human-greatness-t-shirt-white-s,humangreatness,16782,1007,4.9,466,Atas
tokopedia,341802275,boyi-baju-kemeja-polos-pria-lengan-pendek-kemeja-cowo-kasual-slim-fit-navy-xs,fortklass,63211,893,4.4,279,Atas
tokopedia,1142893795,baju-kemeja-polos-pria-lengan-pendek-katun-kemeja-cowok-distro-xl,aljosa,72861,979,4.7,450,Atas
tokopedia,363776103,david-baju-kemeja-polos-pria-lengan-panjang-kemeja-formal-cowok-putih-l,fortklass,68288,969,4.4,414,Atas
tokopedia,1631555641,kaos-unisex-erigo-t-shirt-sushi-battle-cotton-combed-black-s,erigo,50979,967,4.9,629,Atas
tokopedia,1631524053,kaos-unisex-erigo-t-shirt-ramen-street-black-s,erigo,71089,902,4.8,533,Atas
tokopedia,484455265,kemeja-pria-polos-panjang-slimfit-putih-long-sleeve-shirt-hitam-xxl,vm-vanmarvell,55099,912,4.6,365,Atas
tokopedia,1634218042,kaos-unisex-erigo-t-shirt-save-cotton-combed-cream-s,erigo,32213,905,4.8,565,Atas
tokopedia,2141589968,samed-baju-koko-pria-lengan-panjang-baju-muslim-cowok-hitam-putih-abu-abu-l,fortklass,56142,891,4.4,379,Atas
tokopedia,1414662163,raisa-x-darbotz-two-sided-t-shirt-s,juni-goods,28190,840,4.9,525,Atas
tokopedia,561834416,gt-man-gts01-white-t-shirt-round-neck-xl,gtmanofficial,10841,838,4.9,236,Atas
tokopedia,2234543682,kaos-krah-pria-polo-shirt-pendek-polo-shirt-polos-m,vm-vanmarvell,31690,828,4.8,157,Atas
