online_shop,product_id,product_key,shop_name,view_count,sold_count,rating_average,review_count,kategori_penjualan
tokopedia,291475862,blouse-atasan-baju-wanita-size-jumbo-besar-xxl-ibu-hamil-kantor-kerja-1,chibichibi,13350,7546,4.2,20,Atas
tokopedia,436698989,st002-atasan-wanita-stevia-top-baju-lengan-panjang-kaos-salur-fit-to-l-putih,hzb86,88618,3797,4.4,567,Atas
tokopedia,1459395537,53361-jumbo-pinguin-wajik-baju-tunik-jumbo-atasan-muslim-wanita-jumbo-xl-hitam,glorypurpleshop,134409,2826,4.6,885,Atas
tokopedia,616862453,monellina-fashion-baju-tank-top-singlet-xxl-jumbo-murah-wanita-sinly-mustard-l,monellinafashion,62705,2537,4.8,577,Atas
tokopedia,509646652,baju-atasan-tunik-wanita-pakaian-muslim-blouse-muslim-monna-jumbo-putih-xxxl-ca60,winofficialshop,85000,2422,4.5,676,Atas
tokopedia,1327856695,knit-tank-top-wanita-all-size-knitted-baju-dalaman-6-warna-kuning,tokoduparezeki,67186,2086,4.8,613,Atas
tokopedia,1058144912,atasan-wanita-baju-blouse-kemeja-kotak-jumbo-blus-square-big-size-xxl-putih-l,my1stshop,150615,2007,4.7,951,Atas
tokopedia,1170130221,baju-bali-baju-atasan-tie-dye-murah-atasan-wanita-murah,cenil123,21190,1977,4.9,355,Atas
tokopedia,370252500,baju-atasan-tunik-terbaru-wanita-jumbo-blouse-kerja-kantor-long-dress8,tuasanstore,12576,1692,5.0,170,Atas
tokopedia,337229019,baju-atasan-wanita-carzon-shirt-tunik-blouse-baju-muslim-black,openols,104645,1607,4.8,360,Atas
tokopedia,1818000298,baju-atasan-wanita-terbaru-dzuvia-tunik-full-kancing-termurah-mustard,hijabafwa,167391,1489,4.5,748,Atas
tokopedia,310196198,baju-atasan-wanita-murah-polos-lengan-panjang-manset-polos-k203,queenfashion8888,31600,1582,4.4,224,Atas
tokopedia,1570392453,baju-tie-dye-baju-wanita-baju-kaos-baju-bali-atasan-wanita-hitam-putih,sukawatisouvenir,11235,1274,4.9,248,Atas
tokopedia,352409196,baju-atasan-tunik-tunik-remaja-baju-atasan-wanita-tunik-muslim-terbaru,tokohaamidah,1835,1222,5.0,40,Atas
tokopedia,352407152,baju-atasan-tunik-long-blazer-baju-atasan-wanita-fashion-wanita-murah,tokohaamidah,818,1221,5.0,40,Atas
tokopedia,352402708,baju-blouse-baju-atasan-tunik-baju-atasan-wanita-tunuik-remaja-terbaru,tokohaamidah,2373,1221,5.0,40,Atas
tokopedia,1863425979,tamara-combi-tunik-baju-atasan-wanita-atasan-muslim-long-tunik-navy,bom1,77813,1288,4.6,341,Atas
tokopedia,352410225,baju-blouse-baju-atasan-wanita-baju-atasan-tunik-tunik-remaja-termurah,tokohaamidah,801,1222,5.0,40,Atas
tokopedia,544542740,blouse-jumbo-baju-atasan-wanita-spesial-hem-kemeja-hitam-putih-bigsize-merah-3l-8a97,renneofficial,59877,1147,4.9,315,Atas
tokopedia,1433527188,baju-atasan-wanita-alika-top-blouse-baju-muslim-blus-muslim-black-m,tazkiahijabstore,127793,1186,4.8,478,Atas
tokopedia,320976641,baju-atasan-wanita-giza-blouse-tunik-blus-muslim-white,openols,76279,1035,4.7,266,Atas
tokopedia,320567039,baju-atasan-wanita-blazer-hitam-korea-kerja-polos,albanaastore,19312,1027,4.9,207,Atas
tokopedia,269314074,baju-tank-top-wanita-merek-denla-tally-s-2005-dijamin-murah-hitam,tokolingerieku,16986,943,4.9,222,Atas
tokopedia,1140013789,jojoba-jumbo-baju-atasan-wanita-big-size-motif-bunga-lengan-panjang-ayumi-maroon,paphika,79498,925,4.8,399,Atas
tokopedia,1351149090,baju-singlet-tank-top-wanita-merek-denla-tally-s-2015-dijamin-murah-navy,tokolingerieku,19533,882,4.9,198,Atas
tokopedia,358562044,atasan-wanita-hasna-blouse-baju-muslim-blus-muslim-abu,openols,55021,861,4.9,174,Atas
tokopedia,1749235723,tunik-ailen-baju-atasan-wanita-fashion-muslim-bahan-katun-navy-xl,shafiyya,55986,792,4.5,428,Atas
tokopedia,511183824,baju-atasan-blouse-tunik-wanita-baju-muslim-blus-monna-jumbo-blouse-putih,my1stshop,47902,773,4.6,266,Atas
tokopedia,359774200,baju-atasan-wanita-bloomy-blouse-tunik-baju-muslim-mocca,openols,47958,771,4.8,122,Atas
tokopedia,304196252,atasan-baju-wanita-blouse-gita-murah-berkualitas-navy,kedai-baju,75391,737,3.9,287,Atas
tokopedia,2230381728,daster-midi-dress-santai-baju-tidur-piyama-atasan-batik-bpt002-12-329a,alhadi,22379,726,4.5,158,Atas
tokopedia,2070588618,kaos-tumblr-tee-cofe-bordir-atasan-baju-t-shirt-wanita-cewek-perempuan-hitam-allsize,carotyles,77620,716,4.7,269,Atas
tokopedia,1922192950,tunik-baju-batik-wanita-atasan-best-seller-random-m,batikawab,40228,678,4.7,197,Atas
tokopedia,546339644,baju-tunik-muslik-wanita-terbaru-hilda-tunik-atasan-murah-grosir,senshigroupstore,99035,665,4.5,314,Atas
tokopedia,298687664,mica-jeans-blouse-tunik-top-atasan-wanita-baju-murah-biru-tua-jeans,yucwholesale,68631,661,4.5,286,Atas
tokopedia,359301535,baju-gamis-wanita-baju-atasan-wanita-muslim-494-grey,fateen,52249,662,4.8,231,Atas
tokopedia,1213163055,atasan-baju-wanita-modern-dress-tunik-batik-spesial-baju-kerja-m-xxl-tunik-batik-m,em-ys,28064,612,4.7,212,Atas
tokopedia,1888931829,atasan-pelangi-bali-baju-wanita-kaos-murah-kaos-pelangi-3-ungu-biru,baliswalayan,5006,655,4.9,108,Atas
tokopedia,373174837,baju-gamis-batik-zara-sogan-atasan-batik-wanita-baju-batik-muslimah,akmalsabatik,71130,641,4.8,224,Atas
tokopedia,1576176620,manset-baju-daleman-jersey-murah-atasan-wanita-navy,mawarofficialstoreid,3386,595,4.7,108,Atas
tokopedia,1613750856,tunik-hijab-set-olahraga-baju-senam-tennis-bersepeda-yoga-pink-tunik-l-xl,hitjabnco,16188,611,4.9,202,Atas
tokopedia,1107174330,jumbo-kuernavy-baju-atasan-wanita-0117-rhw-tunik-navy,supermodel-tkpd,109485,602,4.3,199,Atas
tokopedia,483276246,baju-atasan-kemeja-wanita-blouse-wanita-gaya-korea-with-ribbon-merah-l,my1stshop,51059,597,4.5,206,Atas
tokopedia,236874183,baju-atasan-wanita-terbaru-inna-2-top-tunik-muslim-terbaru,hijabers88,82128,597,4.6,273,Atas
tokopedia,381685684,baju-atasan-kantor-kemeja-karet-jumbo-blouse-kemeja-wanita-merah-muda,my1stshop,54054,561,4.5,209,Atas
tokopedia,1388653404,kaos-wanita-love-baju-atasan-wanita-cotton-combed-30s-m-hitam,yendistro,13131,554,4.7,229,Atas
tokopedia,631101064,caroline-baju-atasan-kemeja-wanita-lengan-panjang-kemeja-kerja-cewek-navy,fortklass,93568,519,4.3,172,Atas
tokopedia,374578034,yoenik-apparel-kikan-shirt-tops-khaki-m14379-r1s2,yoenik-apparel,60803,526,4.8,307,Atas
tokopedia,1419792729,baju-batik-atasan-wanita-blouse-batik-kombinasi-s-daun-no-3,santy-,28646,512,4.8,190,Atas
tokopedia,631101344,fortklass-baju-atasan-kemeja-wanita-lengan-panjang-kemeja-kerja-cewek-hitam-9b5a,fortklass,44311,505,4.4,228,Atas
tokopedia,164591138,blouse-batik-wanita-atasan-wanita-baju-kemeja-wanita-batik-kerja-05,batikalita,62435,508,4.8,221,Atas
tokopedia,1144007071,baju-kaos-fitnes-lari-gym-senam-olahraga-wanita-ladies-atasan-adl02-kuning-m,rrsportjuwana,10995,505,4.6,160,Atas
tokopedia,2233091806,daster-midi-dress-santai-baju-tidur-piyama-atasan-batik-bpt002-116-bpt002-326a,alhadi,13270,506,4.6,101,Atas
tokopedia,678203093,damai-fashion-baju-atasan-kaos-wanita-tumblr-hi-putih,lvco,15506,494,4.5,208,Atas
tokopedia,370274525,polo-country-classic-polo-shirt-wanita-putih-s,polocountryid,31126,499,4.8,247,Atas
tokopedia,1578145977,atasan-tshirt-baju-kaos-wanita-remaja-cewek-bts-be-ready-murah-terbaru-lilac-s,onestopfashionid,23422,487,4.7,224,Atas
tokopedia,1772460584,baju-atasan-wanita-terbaru-fisa-tunik-full-kancing-free-belt-navy,hijabafwa,56249,488,4.7,291,Atas
tokopedia,168235195,baju-polos-crop-top-atasan-wanita-kaos,rikaberjualan,42371,487,4.2,84,Atas
tokopedia,575017022,baju-atasan-kemeja-wanita-jumbo-kantor-big-size-xxxl-milo,my1stshop,30313,459,4.6,213,Atas
tokopedia,567223128,kemeja-corak-jumbo-k130-baju-atasan-wanita-bigsize,paphika,19758,461,4.9,154,Atas
tokopedia,525314644,baju-atasan-wanita-jumbo-diana-blouse-tunik-muslim-bigsize-marun-3l,renneofficial,36051,455,4.8,144,Atas
tokopedia,259770617,blouse-batik-super-jumbo-bigsize-baju-atasan-wanita-big-size-373-vol-2,paphika,46497,451,4.9,187,Atas
tokopedia,1963496981,baju-wanita-behappy-bahan-katun-fashion-atasan-kaos-wanita-perempuan-hijau-oversize,metforyouu,21694,449,4.8,192,Atas
