online_shop,product_id,product_name,product_key,shop_name,condition,price,view_count,sold_count,rating_average,review_count
tokopedia,2083416565,"Kaos Polos New States Apparel 7200 Premium Cotton T-shirt - Black, M",kaos-polos-new-states-apparel-7200-premium-cotton-t-shirt-black-m,newstatesapparel,NEW,43000,53816,8753,4.9,2177
tokopedia,2086198342,"Kaos Polos New States Apparel 3600 Soft Tee T-shirt - Black, S",kaos-polos-new-states-apparel-3600-soft-tee-t-shirt-black-s,newstatesapparel,NEW,38000,63581,7918,4.9,1807
tokopedia,1138827179,Kemeja Polos Hitam Cowok Panjang Kerja kantor Slimfit / Baju Pria - XL,kemeja-polos-hitam-cowok-panjang-kerja-kantor-slimfit-baju-pria-xl,aljosa,NEW,70000,296384,5460,4.6,2417
tokopedia,1632995657,Kaos Polo Shirt Pique CVC KPM Apparel Size Dewasa - XS,kaos-polo-shirt-pique-cvc-kpm-apparel-size-dewasa-xs,kaospolosmania,NEW,55000,44593,4740,4.9,893
tokopedia,308028135,2 Kemeja Putih PNS Pria HEM Putih ASN Atasan Putih PDH Baju Putih PNS,2-kemeja-putih-pns-pria-hem-putih-asn-atasan-putih-pdh-baju-putih-pns,top-star,NEW,74900,81938,4299,4.8,1464
tokopedia,691396885,"TERLARIS BAJU MUSLIM PRIA KOKO AGAM ATASAN KOKO PRIA KEMEJA KOKO PRIA - MUSTARD, M",terlaris-baju-muslim-pria-koko-agam-atasan-koko-pria-kemeja-koko-pria-mustard-m,anyafootwear,NEW,57500,162687,3715,4.6,1155
tokopedia,694063169,Decathlon Kalenji Kaos Lari Dryfit Pria Petrole biru - 8519871 - S,decathlon-kalenji-kaos-lari-dryfit-pria-petrole-biru-8519871-s,decathlon,NEW,76000,167922,3636,4.8,2011
tokopedia,1138846722,"VM Polo Shirt JUMBO Kaos Polos Tangan Pendek - Putih, M",vm-polo-shirt-jumbo-kaos-polos-tangan-pendek-putih-m,vm-vanmarvell,NEW,49000,33561,3222,4.8,831
tokopedia,1142898215,Kemeja Hitam Polos Pria Lengan Pendek | Baju Cowok Slimfit - M,kemeja-hitam-polos-pria-lengan-pendek-baju-cowok-slimfit-m,aljosa,NEW,65500,209910,2988,4.6,1215
tokopedia,694404413,Decathlon Kalenji Kaos Lari Rundry Pria - 8488034 - S,decathlon-kalenji-kaos-lari-rundry-pria-8488034-s,decathlon,NEW,76000,119439,2920,4.8,1522
tokopedia,2087196920,"Kaos polos Dri-Fit New States Apparel 2700 - Royal blue, S",kaos-polos-dri-fit-new-states-apparel-2700-royal-blue-s,newstatesapparel,NEW,40000,31909,2916,4.9,991
tokopedia,1142894971,Baju Kemeja Lengan Pendek Pria Katun Slimfit | Kemeja Cowok Distro - M,baju-kemeja-lengan-pendek-pria-katun-slimfit-kemeja-cowok-distro-m,aljosa,NEW,65500,157739,2419,4.7,1023
tokopedia,1138824416,kemeja Polos Pria Lengan Panjang | Baju Polosan Cowok Kerja Murah - L,kemeja-polos-pria-lengan-panjang-baju-polosan-cowok-kerja-murah-l,aljosa,NEW,70000,106954,2266,4.7,1029
tokopedia,370246125,"[POLO COUNTRY] CLASSIC POLO SHIRT KK - Putih, XXL",polo-country-classic-polo-shirt-kk-putih-xxl,polocountryid,NEW,255000,71920,2184,4.9,900
tokopedia,1140726266,Kemeja Polos Putih Pria Simple / Baju Pakaian Slimfit katun White - M,kemeja-polos-putih-pria-simple-baju-pakaian-slimfit-katun-white-m,aljosa,NEW,70000,99079,2002,4.5,898
tokopedia,341798150,"MARCHEL MAN BAJU KEMEJA POLOS PRIA LENGAN PENDEK KEMEJA CASUAL PRIA - Navy, L",marchel-man-baju-kemeja-polos-pria-lengan-pendek-kemeja-casual-pria-navy-l,fortklass,NEW,49000,89355,1652,4.5,583
tokopedia,1673660837,Kaos Unisex Erigo T-Shirt Fukuokai Custom Cotton Combed Black - S,kaos-unisex-erigo-t-shirt-fukuokai-custom-cotton-combed-black-s,erigo,NEW,65000,102595,2141,4.9,1313
tokopedia,1417516820,"BAJU KAOS ATASAN TSHIRT DISTRO FASHION PRIA WANITA OXPREY MURAH 1657 - Putih, S",baju-kaos-atasan-tshirt-distro-fashion-pria-wanita-oxprey-murah-1657-putih-s,oxprey59,NEW,99999,100602,1971,4.7,860
