online_shop,product_id,product_name,product_key,shop_name,condition,price,view_count,sold_count,rating_average,review_count
tokopedia,291475862,BLOUSE ATASAN BAJU WANITA SIZE JUMBO BESAR XXL IBU HAMIL KANTOR KERJA,blouse-atasan-baju-wanita-size-jumbo-besar-xxl-ibu-hamil-kantor-kerja-1,chibichibi,NEW,104500,13434,7546,4.2,20
tokopedia,436698989,"ST002 atasan wanita STEVIA TOP,baju lengan panjang,kaos salur FIT TO L - Putih",st002-atasan-wanita-stevia-top-baju-lengan-panjang-kaos-salur-fit-to-l-putih,hzb86,NEW,14500,88681,3797,4.4,567
tokopedia,1459395537,"53361 jumbo pinguin wajik/baju tunik jumbo/atasan muslim wanita jumbo - XL, Hitam",53361-jumbo-pinguin-wajik-baju-tunik-jumbo-atasan-muslim-wanita-jumbo-xl-hitam,glorypurpleshop,NEW,55500,134591,2827,4.6,886
tokopedia,616862453,"Monellina Fashion Baju Tank Top Singlet XXL Jumbo Murah Wanita Sinly - Mustard, L",monellina-fashion-baju-tank-top-singlet-xxl-jumbo-murah-wanita-sinly-mustard-l,monellinafashion,NEW,15000,63943,2646,4.8,605
tokopedia,509646652,"Baju Atasan Tunik Wanita Pakaian Muslim Blouse Muslim Monna Jumbo - Putih, XXXL",baju-atasan-tunik-wanita-pakaian-muslim-blouse-muslim-monna-jumbo-putih-xxxl-ca60,winofficialshop,NEW,50000,85050,2422,4.5,676
tokopedia,1327856695,Knit tank top wanita all size knitted baju dalaman 6 warna - Kuning,knit-tank-top-wanita-all-size-knitted-baju-dalaman-6-warna-kuning,tokoduparezeki,NEW,40000,67615,2115,4.8,621
tokopedia,1058144912,"Atasan Wanita Baju Blouse Kemeja Kotak Jumbo Blus Square Big size XXL - Putih, L",atasan-wanita-baju-blouse-kemeja-kotak-jumbo-blus-square-big-size-xxl-putih-l,my1stshop,NEW,50000,150762,2007,4.7,952
tokopedia,1170130221,Baju Bali / Baju Atasan Tie Dye Murah / Atasan Wanita Murah,baju-bali-baju-atasan-tie-dye-murah-atasan-wanita-murah,cenil123,NEW,15500,21616,2003,4.9,360
tokopedia,370252500,BAJU ATASAN TUNIK TERBARU WANITA JUMBO BLOUSE KERJA KANTOR LONG DRESS8,baju-atasan-tunik-terbaru-wanita-jumbo-blouse-kerja-kantor-long-dress8,tuasanstore,NEW,178750,12586,1692,5,170
tokopedia,337229019,Baju Atasan Wanita Carzon Shirt Tunik Blouse Baju Muslim - Black,baju-atasan-wanita-carzon-shirt-tunik-blouse-baju-muslim-black,openols,NEW,58500,104754,1607,4.8,360
